Rossdale Road NW and 104 Street NW
River Valley Road NW and 105 Street NW
96 Avenue NW and Rossdale Road NW
River Valley Road NW and Groat Road NW
97 Avenue and Bellamy Hill Road
97 Avenue NW and 105 Street NW
97 Avenue NW and 106 Street NW
97 Avenue NW and 107 Street NW
97 Avenue and Rossdale Road
98 Avenue and  97 Street
Connors Road Northbound and Scona Road Northbound
Connors Road and  99A Street
Grierson Hill and McDougall Hill
98 Avenue and 105 Street
98 Avenue and 106 Street
99 Avenue and 103 Street
99 Avenue and 105 Street
99 Avenue and 106 Street
99 Avenue and 107 Street
99 Avenue and 108 Street
